2025-08-11 21:41:47.332 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.01s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.439 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.282s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.491 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.013s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.586 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.014s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:12.612 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.016s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:47:17.831 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.013s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/
2025-08-11 21:47:17.855 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.015s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/
2025-08-11 21:47:20.273 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.005s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:47:20.284 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:47:31.121 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/6? | Status: 204 | Tempo: 0.07s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:47:37.184 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/6? | Status: 404 | Tempo: 0.01s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:47:39.168 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /docs? | Status: 200 | Tempo: 0.009s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: 
2025-08-11 21:47:39.399 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: GET | Rota: /openapi.json? | Status: 200 | Tempo: 0.017s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:48:23.698 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.045s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:48:40.730 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: POST | Rota: /admin/participantes/cadastro? | Status: 201 | Tempo: 0.195s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:49:03.822 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.004s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:49:03.831 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:49:54.980 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.014s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:49:55.004 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:49:57.863 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.112s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:49:57.877 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: GET | Rota: /meu-perfil? | Status: 401 | Tempo: 0.006s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:50:05.805 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 356303e5-4f99-4781-b984-13bbabdbe09b | Método: POST | Rota: /auth/token? | Status: 200 | Tempo: 0.157s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-11 21:50:05.852 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.033s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/login
2025-08-11 21:50:05.914 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.013s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:50:05.932 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: GET | Rota: /meu-perfil? | Status: 200 | Tempo: 0.011s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/profile
2025-08-11 21:53:15.334 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: Não registrado | Método: DELETE | Rota: /admin/participantes/deletar/7? | Status: 204 | Tempo: 0.216s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://127.0.0.1:8000/docs
2025-08-11 21:53:35.466 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.017s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:53:35.486 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: GET | Rota: /ocupacoes? | Status: 404 | Tempo: 0.001s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:53:51.680 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: POST | Rota: /admin/participantes/cadastro? | Status: 400 | Tempo: 0.048s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
2025-08-11 21:54:04.754 | INFO     | qrcheck.app:log_middleware:136 - IP: 127.0.0.1 | User: 80b8c26e-9fc3-429f-83fd-9c5ea071a9cb | Método: POST | Rota: /admin/participantes/cadastro? | Status: 201 | Tempo: 0.307s | Navegador (User-Agent): Chrome 139.0.0 | SO: Windows 10 | Dispositivo: PC | Referer: http://localhost:5173/register
